root_sample_ID,biomass,species
1,22.09,Bruguiera_spp
2,20.9,Bruguiera_spp
3,19.06,Bruguiera_spp
4,21,Bruguiera_spp
5,20.67,Bruguiera_spp
6,19.74,Bruguiera_spp
7,19.95,Bruguiera_spp
8,21.13,Bruguiera_spp
9,18.59,Bruguiera_spp
10,21.35,Bruguiera_spp
11,21.59,Bruguiera_spp
12,21.41,Bruguiera_spp
13,19.23,Bruguiera_spp
14,20.03,Bruguiera_spp
15,21.88,Bruguiera_spp
16,22.15,Bruguiera_spp
17,22.03,Bruguiera_spp
18,20.33,Bruguiera_spp
19,18.39,Bruguiera_spp
20,18.69,Bruguiera_spp
21,19.56,Bruguiera_spp
22,19.12,Bruguiera_spp
23,18.49,Bruguiera_spp
24,19.24,Bruguiera_spp
25,18.55,Bruguiera_spp
26,19.74,Bruguiera_spp
27,18.9,Bruguiera_spp
28,18.79,Bruguiera_spp
29,18.5,Bruguiera_spp
30,19.13,Bruguiera_spp
31,19.41,Bruguiera_spp
32,19.76,Bruguiera_spp
33,18.57,Bruguiera_spp
34,18.62,Bruguiera_spp
35,18.25,Bruguiera_spp
36,18.41,Bruguiera_spp
37,18.64,Bruguiera_spp
38,18.31,Bruguiera_spp
39,18.5,Bruguiera_spp
40,18.37,Bruguiera_spp
41,19.64,Bruguiera_spp
42,18.78,Bruguiera_spp
43,18.84,Bruguiera_spp
44,19.5,Bruguiera_spp
45,16.75,Rhizophora_spp
46,18.11,Rhizophora_spp
47,18.04,Rhizophora_spp
48,17.96,Rhizophora_spp
49,18,Rhizophora_spp
50,17.64,Rhizophora_spp
51,17.24,Rhizophora_spp
52,15.41,Rhizophora_spp
53,16.7,Rhizophora_spp
54,16.53,Rhizophora_spp
55,16.23,Rhizophora_spp
56,14.88,Rhizophora_spp
57,16.25,Rhizophora_spp
58,14.91,Rhizophora_spp
59,17.63,Rhizophora_spp
60,16.73,Rhizophora_spp
61,15.88,Rhizophora_spp
62,17.96,Rhizophora_spp
63,16.18,Rhizophora_spp
64,15.37,Rhizophora_spp
65,15.62,Rhizophora_spp
66,16.34,Rhizophora_spp
67,16.29,Rhizophora_spp
68,17.38,Rhizophora_spp
69,16.01,Rhizophora_spp
70,17.27,Rhizophora_spp
71,16.62,Rhizophora_spp
72,18.07,Rhizophora_spp
73,17.06,Rhizophora_spp
74,17.03,Rhizophora_spp
75,17.9,Rhizophora_spp
76,18.18,Rhizophora_spp
77,16.92,Rhizophora_spp
78,16.95,Rhizophora_spp
