pacing,type
26.6,enrich1
23.9,enrich1
23.3,enrich1
19.5,enrich1
21.6,enrich1
22.5,enrich1
20.4,enrich1
15.6,enrich1
15.6,enrich1
19.9,enrich1
26.7,enrich1
20.7,enrich1
20.4,enrich1
18.5,enrich1
24.4,enrich1
26.2,enrich1
26.2,enrich2
28,enrich2
29.6,enrich2
28,enrich2
24.4,enrich2
23,enrich2
37.6,enrich2
35.6,enrich2
39.1,enrich2
32.5,enrich2
26.6,enrich3
31.2,enrich3
35.6,enrich3
21,enrich3
24.9,enrich3
20.2,enrich3
32.3,enrich3
26.8,enrich3
