Country Name,Country Code,Forest,infant.mort,Fertility,domestic_fw,CO2.emissions,gdp,region
Afghanistan,AFG,13500,71.7,5.272,0.7604,0.425262105,2848,asia
Albania,ALB,7740.2,13.8,1.76,42.81,1.60703771,863,eu
Algeria,DZA,14744,22.4,2.909,24.24,3.316037892,1531,africa
American Samoa,ASM,176.4,,,,,,c_us
Andorra,AND,160,2.3,,,5.96868547,,eu
Angola,AGO,582304,104.1,6.251,45.27,1.35400753,355,africa
Antigua and Barbuda,ATG,98,6.8,2.102,63.1,5.823804338,6966,c_us
Argentina,ARG,289204,12.3,2.347,15.48,4.562048512,8055,s_us
Armenia,ARM,2536,14.6,1.581,29.5,1.671656923,354,asia
Aruba,ABW,4.2,,1.68,,23.9224121,,c_us
Australia,AUS,1474520,3.6,1.921,15.59,16.51920992,20046,aust
Austria,AUT,38970,3.3,1.44,18.27,7.769983423,29006,eu
Azerbaijan,AZE,9360,31.2,2,4.267,3.647379147,321,asia
"Bahamas, The",BHS,5150,10.9,1.893,,5.199844019,12545,c_us
Bahrain,BHR,5.6,6.3,2.095,49.78,17.94732981,9073,asia
Bangladesh,BGD,14368,35.3,2.245,10.04,0.372017166,280,asia
Barbados,BRB,83.6,13,1.788,19.6,5.580177618,7173,c_us
Belarus,BLR,87076,4,1.62,26.88,6.682510398,994,asia
Belgium,BEL,6798.8,3.5,1.79,11.71,8.849398302,26582,eu
Belize,BLZ,13738,15.5,2.643,11.29,1.670904302,2569,c_us
Benin,BEN,44610,68.5,4.927,31.54,0.509962226,391,africa
Bermuda,BMU,10,,1.59,,6.07721021,,c_us
Bhutan,BTN,32706,30.8,2.152,5.03,0.766205619,166,asia
Bolivia,BOL,565808,34,3.073,6.513,1.599499039,909,s_us
Bosnia and Herzegovina,BIH,21850,5.9,1.28,,6.19665215,271,eu
Botswana,BWA,111142,38.2,2.881,40.72,2.323345006,3640,africa
Brazil,BRA,5151332,14.3,1.812,23,2.191393564,4510,s_us
Brunei Darussalam,BRN,3764,8.1,1.913,,24.39201338,16683,asia
Bulgaria,BGR,40374,10.5,1.5,15.98,6.71438251,1518,eu
Burkina Faso,BFA,55290,65.4,5.693,45.92,0.11998056,165,africa
Burundi,BDI,1684,59.5,6.123,17.01,0.021349926,205,africa
Cabo Verde,CPV,856.9,22.4,2.376,7.273,0.859061433,994,africa
Cambodia,KHM,98392,30.7,2.739,4.487,0.308073152,130,asia
Cameroon,CMR,194760,62.4,4.859,16.67,0.268091793,627,africa
Canada,CAN,3101340,4.7,1.61,,14.13581338,18943,n_us
Cayman Islands,CYM,127,,,,10.30493107,,c_us
Central African Republic,CAF,225450,97.7,4.451,82.9,0.063127814,379,africa
Chad,TCD,113666,90.2,6.374,11.79,0.043830424,187,africa
Chile,CHL,163062,7.4,1.789,3.576,4.61644538,4736,s_us
China,CHN,2123872.8,11.5,1.663,12.19,6.710301991,582,asia
Colombia,COL,602970,14.9,1.948,26.63,1.560629099,2215,s_us
Comoros,COM,22,59.8,4.628,48,0.220233473,367,asia
"Congo, Dem. Rep.",COD,1535122,80.5,6.199,68.01,0.050302688,117,africa
"Congo, Rep.",COG,223870,37.6,4.961,69.57,0.538098379,1008,africa
Costa Rica,CRI,26506,8.8,1.866,32.34,1.704974495,2696,c_us
Cote d'Ivoire,CIV,104022,72.8,5.121,41.05,0.312877703,736,africa
Croatia,HRV,19268,4.1,1.51,84.95,4.801530011,4014,eu
Cuba,CUB,29392,4.6,1.628,26.83,3.172315091,1983,c_us
Curacao,CUW,,,2.2,,,,c_us
Cyprus,CYP,1733.1,2.8,1.464,10.33,6.735375823,11459,eu
Czech Republic,CZE,26610,3.2,1.45,41.73,10.43108813,4450,eu
Denmark,DNK,5480,3.2,1.73,58.48,7.248328717,33191,eu
Djibouti,DJI,56,58.9,3.332,84.21,0.561940931,893,africa
Dominica,DMA,441,18.7,,,1.746141565,2831,c_us
Dominican Republic,DOM,19720,27.1,2.539,26.38,2.182907888,1508,c_us
Ecuador,ECU,94698,20.1,2.599,13.04,2.354017387,1565,s_us
"Egypt, Arab Rep.",EGY,712,22.6,3.306,7.76,2.635115225,973,africa
El Salvador,SLV,2782,16,1.991,22.38,1.103998574,1660,c_us
Equatorial Guinea,GNQ,16024,74.3,5.011,79.31,8.907241536,388,s_us
Eritrea,ERI,15232,37,4.444,5.326,0.108718365,96,africa
Estonia,EST,21960,2.9,1.56,3.007,14.04988252,2433,eu
Ethiopia,ETH,120144,46.2,4.642,5.991,0.083943117,96,africa
Fiji,FJI,10208,20,2.615,28.03,1.424813248,2593,aust
Finland,FIN,221570,2.2,1.8,24.72,10.1640461,24453,eu
France,FRA,160500,3.5,2.01,18.26,5.185043424,26444,eu
French Polynesia,PYF,1650,,2.075,,3.167952684,19766,aust
Gabon,GAB,220000,39.7,4.01,60.89,1.418165749,5007,africa
"Gambia, The",GMB,4836,50.1,5.775,37.46,0.241098417,321,africa
Georgia,GEO,27371.8,12.8,1.82,19.75,1.769150524,343,asia
Germany,DEU,110760,3.3,1.38,15.88,8.917832846,29632,eu
Ghana,GHA,47092,47,4.238,23.93,0.404379798,397,africa
Greece,GRC,39634,3.9,1.34,8.933,7.556057769,8684,eu
Grenada,GRD,169.9,11.5,2.194,,2.408137432,2485,c_us
Guam,GUM,258.8,,2.427,,,,aust
Guatemala,GTM,35446,26.6,3.317,25.12,0.748055056,1392,c_us
Guinea,GIN,64720,66.8,5.175,37.65,0.229423425,442,africa
Guinea-Bissau,GNB,20020,67.4,4.972,13.14,0.146810683,131,africa
Guyana,GUY,152050,33.3,2.615,4.242,2.357722028,726,s_us
Haiti,HTI,994,56.2,3.169,18.77,0.217962048,386,c_us
Honduras,HND,49520,19.2,2.514,19.6,1.103745053,697,c_us
Hungary,HUN,20474,5.4,1.34,11.95,4.862989931,4325,eu
Iceland,ISL,317,1.7,2.04,49.09,5.896828979,26217,eu
India,IND,687240,42.6,2.51,7.359,1.662873483,365,asia
Indonesia,IDN,930620,25.3,2.5,11.59,2.303780983,1019,asia
"Iran, Islamic Rep.",IRN,110750,15.1,1.742,6.645,7.802145093,1544,asia
Iraq,IRQ,8250,28.7,4.086,6.515,4.20163513,11308,asia
Ireland,IRL,7566,3.4,2.01,16,7.880759326,17419,eu
Israel,ISR,1536,3.4,3.05,36.44,8.952413531,16738,asia
