Country Name,Country Code,Forest,infant.mort,Fertility,domestic_fw,CO2.emissions,gdp,region
Italy,ITA,93050,3.2,1.43,20.06,6.702557614,19121,eu
Jamaica,JAM,3362.6,14.8,2.284,18,2.872655693,1779,c_us
Japan,JPN,249966,2.2,1.41,19.32,9.291834303,41718,asia
Jordan,JOR,975,16.8,3.314,30.96,3.601147064,1228,asia
Kazakhstan,KAZ,32978,16,2.62,4.153,15.81009754,995,asia
Kenya,KEN,34450,39.2,4.481,17.18,0.327569171,330,africa
Kiribati,KIR,121.5,46.6,3.796,,0.595622098,654,aust
"Korea, Dem. Rep.",PRK,54128,22.7,1.995,10.43,2.987182112,271,asia
"Korea, Rep.",KOR,62088,3.3,1.297,25.99,11.84075687,9736,asia
Kosovo,KSV,,,2.19,,,,eu
Kuwait,KWT,65.3,8.5,2.626,43.86,28.10266175,15757,asia
Kyrgyz Republic,KGZ,9876,22.9,3.2,2.798,1.199591629,331,asia
Lao PDR,LAO,155946,55.4,3.138,3.722,0.188910506,359,asia
Latvia,LVA,33768,7.6,1.44,38.28,3.786801437,1764,eu
Lebanon,LBN,1370.6,7.9,1.498,29.01,4.668312508,3114,asia
Lesotho,LSO,444,72.3,3.253,45.66,1.082269608,486,africa
Liberia,LBR,42690,59.4,4.868,54.36,0.218425012,1124,africa
Libya,LBY,2170,12.9,2.543,14.1,6.204914344,5498,africa
Liechtenstein,LIE,69,,1.51,,1.405096204,42416,eu
Lithuania,LTU,21756,4.5,1.6,6.56,4.537558514,1595,eu
Luxembourg,LUX,867.5,1.6,1.57,63.12,20.8978117,35109,eu
"Macao SAR, China",MAC,,,1.16,,2.133060902,,asia
"Macedonia, FYR",MKD,10072,6.5,1.497,21.11,4.519210141,1660,eu
Madagascar,MDG,124390,39.3,4.528,1.447,0.112992805,215,asia
Malawi,MWI,31710,50.2,5.318,10.55,0.079231485,142,africa
Malaysia,MYS,202824,6.6,1.968,34.84,7.898823573,4313,asia
Maldives,MDV,9,9.2,2.175,94.92,2.927763926,1079,asia
Mali,MLI,123320,79.2,6.396,2.063,0.079956379,223,africa
Malta,MLT,3,5.5,1.43,63.82,6.034321639,8793,eu
Marshall Islands,MHL,126.4,31.2,,,1.954207191,1649,aust
Mauritania,MRT,2320,68.1,4.721,7.067,0.627225464,401,africa
Mauritius,MUS,350.4,12.8,1.54,29.52,3.127070817,3508,asia
Mexico,MEX,644916,13.1,2.3,14.25,3.876107611,2700,c_us
"Micronesia, Fed. Sts.",FSM,641.8,31.1,3.347,,1.240335923,2104,aust
Moldova,MDA,3952,14.3,1.462,13.71,1.398821793,383,eu
Monaco,MCO,,3.1,,100,,26470,eu
Mongolia,MNG,107340,22.1,2.641,12.89,6.915146531,388,asia
Montenegro,MNE,5430,5.3,1.676,59.91,4.145547583,,eu
Morocco,MAR,51510,26.4,2.545,9.81,1.737915547,1265,africa
Mozambique,MOZ,385992,63.6,5.472,19.22,0.131189805,77,africa
Myanmar,MMR,311538,43.2,2.28,10,0.200285212,2399,asia
Namibia,NAM,71416,35.5,3.586,25.35,1.239160489,2059,africa
Nepal,NPL,36360,33.1,2.381,1.554,0.159474455,203,asia
Netherlands,NLD,3650,3.5,1.72,11.8,10.06448974,25635,eu
New Caledonia,NCL,8390,,2.28,,15.17329528,19450,aust
New Zealand,NZL,82522,4.9,2.05,21.46,7.124050867,16866,aust
Nicaragua,NIC,29740,20.6,2.34,18.51,0.843541955,464,c_us
Niger,NER,11792,61.6,7.642,29.93,0.083958178,207,africa
Nigeria,NGA,82218,76.2,5.758,31.27,0.53749756,587,africa
Northern Mariana Islands,MNP,299.9,,,,,,aust
Norway,NOR,102178,2.3,1.85,28.34,9.192879069,33734,eu
Oman,OMN,20,10,2.857,10.14,20.20389451,6232,asia
Pakistan,PAK,16010,70.6,3.744,5.259,0.941171125,504,asia
Palau,PLW,403,15.7,,,10.85543046,6417,aust
Panama,PAN,32274,16,2.484,56.03,2.625276244,2934,c_us
Papua New Guinea,PNG,284416,48,3.869,57,0.746895234,1083,aust
Paraguay,PRY,172248,19.2,2.625,15,0.841915242,1860,s_us
Peru,PER,676920,14.9,2.504,9.18,1.783233144,2497,s_us
Philippines,PHL,77746,23.9,3.048,7.645,0.867845343,1093,asia
Poland,POL,93918,4.6,1.3,30.66,8.335786706,3058,eu
Portugal,PRT,34636,3.1,1.28,7.621,4.709849624,10428,eu
Puerto Rico,PRI,5696,,1.644,90.88,,12213,c_us
Qatar,QAT,0,7.3,2.059,39.19,44.01892637,14013,asia
Romania,ROU,66458,10.9,1.53,21.89,4.210560124,1570,eu
Russian Federation,RUS,8092100,9.3,1.7,20.24,12.64732823,2451,eu
Rwanda,RWA,4550,37.1,4.143,24,0.062874197,238,africa
Samoa,WSM,1710,15.8,4.212,,1.252110076,1106,aust
San Marino,SMR,0,2.9,1.26,,,19121,eu
Sao Tome and Principe,STP,270,37.5,4.689,,0.587909256,49,africa
Saudi Arabia,SAU,9770,13.8,2.873,8.999,18.07245072,6583,asia
Senegal,SEN,83930,44.1,5.161,4.412,0.58833415,572,africa
Serbia,SRB,28078,6.2,1.45,16.57,6.799114997,,eu
Seychelles,SYC,407,12.2,2.4,65.69,6.835706362,7272,asia
Sierra Leone,SLE,26868,97.9,4.874,52.31,0.152044168,293,africa
Singapore,SGP,23,2.2,1.29,45,4.320151436,25581,asia
Slovak Republic,SVK,19334,6.5,1.34,46.51,6.367545917,3266,eu
Slovenia,SVN,12570,2.4,1.58,17.52,7.504259702,9652,eu
Solomon Islands,SLB,22018,25.5,4.098,,0.368304169,686,aust
Somalia,SOM,65934,92.6,6.666,0.4548,0.05870688,119,africa
South Africa,ZAF,92410,36.8,2.412,31.23,9.257216472,3230,africa
South Sudan,SSD,,66.1,5.197,29.33,,,africa
Spain,ESP,185253.2,3.7,1.32,17.76,5.790764234,14111,eu
Sri Lanka,LKA,18308,8.9,2.346,6.216,0.72992084,716,asia
St. Kitts and Nevis,KNA,110,9.3,,,5.050964187,4819,c_us
St. Lucia,LCA,470,13.6,1.936,59.04,2.270423588,3183,c_us
St. Martin (French part),MAF,,,1.82,,,,c_us
St. Vincent and the Grenadines,VCT,268.6,17.8,2.021,,2.179923359,2305,c_us
Sudan,SDN,,51.1,4.491,3.528,0.349548724,36,africa
Suriname,SUR,147508,20.8,2.411,8.005,3.649913361,967,s_us
Swaziland,SWZ,5718,51.5,3.407,2.303,0.864988313,1389,africa
Sweden,SWE,282030,2.4,1.91,37.23,5.518421481,26253,eu
Switzerland,CHE,12492,3.7,1.52,40.59,4.625229924,42416,eu
Syrian Arab Republic,SYR,5030,12.6,3.003,8.801,2.736990943,3573,asia
Tajikistan,TJK,4100,42.1,3.525,5.631,0.35894763,122,asia
Tanzania,TZA,326212,38.8,5.287,10.17,0.1549349,139,africa
Thailand,THA,190016,11.6,1.534,4.779,4.534491734,2896,asia
Timor-Leste,TLS,7196,49.3,5.3,8.447,0.16364808,,asia
Togo,TGO,2672,56.5,4.727,52.66,0.319443622,322,africa
Tonga,TON,90,15,3.815,,0.983561959,1787,aust
Trinidad and Tobago,TTO,2249.6,19.7,1.798,66.15,37.14005424,4083,c_us
Tunisia,TUN,10388,13.6,2.2,12.81,2.402455639,2030,africa
Turkey,TUR,115716,14.2,2.06,15.46,4.383104516,2814,eu
Turkmenistan,TKM,41270,47.6,2.353,2.701,12.18366658,321,africa
Turks and Caicos Islands,TCA,344,,,,6.010149084,,c_us
Tuvalu,TUV,10,24.9,,,,,aust
Uganda,UGA,28116,42.5,5.964,47.7,0.110886576,305,africa
Ukraine,UKR,97570,9.1,1.531,23.98,6.262351962,694,eu
United Arab Emirates,ARE,3194.2,6.7,1.82,15.43,20.43383762,17690,asia
United Kingdom,GBR,28954,4.1,1.92,56.94,7.085732086,18913,eu
United States,USA,3047876,6.1,1.8805,13.68,17.02021634,26037,n_us
Uruguay,URY,18336,10,2.048,11.2,2.296200685,5602,s_us
Uzbekistan,UZB,32677,37.2,2.3,7.321,3.914921266,435,asia
Vanuatu,VUT,4400,24,3.419,,0.591265773,1289,aust
"Venezuela, RB",VEN,456998,13.8,2.417,22.64,6.416333581,3496,s_us
Vietnam,VNM,140850,18.8,1.768,1.47,1.971889173,270,asia
Virgin Islands (U.S.),VIR,199,,1.78,,,,c_us
West Bank and Gaza,PSE,91.7,19.4,4.076,47.85,0.572406877,,asia
"Yemen, Rep.",YEM,5490,38.4,4.416,7.433,0.919967617,732,asia
Zambia,ZMB,491348,49,5.511,18.45,0.212449645,382,africa
Zimbabwe,ZWE,149700,49.4,4.016,14.01,0.691697897,786,africa
