Site,Mid_line_Diameter ,Petiole_Diameter ,Beaver
13,47,2.39,N
13,85,4.65,N
13,111,5.16,N
13,57,2.87,N
13,160,6.63,N
13,173,7.42,N
13,91,3.66,N
13,152,7.26,N
13,72,3.71,N
13,68,3.2,N
13,123,5.99,N
13,116,6.38,N
13,115,5.49,N
13,110,4.93,N
13,163,7.29,N
13,134,6.1,N
13,134,5.97,N
13,193,9.93,N
13,180,8.28,N
13,152,7.24,N
14,49,2.97,N
14,112,6.68,N
14,71,3.78,N
14,187,7.11,N
14,57,2.74,N
14,100,4.75,N
14,102,5.59,N
14,82,3.94,N
14,124,5.44,N
14,103,4.98,N
14,85,4.24,N
14,103,5.51,N
14,165,6.48,N
14,108,5.69,N
14,56,2.79,N
14,125,5.72,N
14,88,4.39,N
14,144,7.19,N
14,153,7.29,N
14,176,8.18,N
15,54,2.84,N
15,96,4.19,N
15,147,6.5,N
15,60,3.2,N
15,68,4.14,N
15,53,2.51,N
15,180,8.53,N
15,119,6.25,N
15,127,6.17,N
15,52,3.53,N
15,94,5.03,N
15,112,6.1,N
15,98,4.98,N
15,107,5.21,N
15,99,5.03,N
15,171,7.19,N
15,128,6.32,N
15,139,7.04,N
15,112,6.35,N
15,131,6.3,N
16,78,3.73,N
16,110,5.21,N
16,96,3.78,N
16,77,3.71,N
16,154,6.93,N
16,153,6.4,N
16,30,1.57,N
16,65,3.2,N
16,105,4.55,N
16,50,2.62,N
16,69,3.48,N
16,57,2.67,N
16,216,9.4,N
16,157,6.86,N
16,145,6.2,N
16,116,4.93,N
16,118,5.18,N
16,152,6.12,N
16,166,7.26,N
16,205,9.14,N
17,138,6.12,N
17,53,3.23,N
17,136,7.04,N
17,51,3.05,N
17,151,7.06,N
17,176,9.58,N
17,53,4.62,N
17,173,8.66,N
17,65,3.96,N
17,85,5.26,N
17,52,3.53,N
17,144,8.33,N
17,112,5.41,N
17,160,7.32,N
17,105,5.46,N
17,89,4.34,N
17,121,6.35,N
17,114,6.12,N
17,109,5.11,N
17,154,8.18,N
